Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2001,Annual,Fresno County,Not Adj,Not Prelim,389500,347900,41600,0.107
2000,Annual,Fresno County,Not Adj,Not Prelim,388700,348200,40500,0.104
1999,Annual,Fresno County,Not Adj,Not Prelim,377400,326300,51100,0.135
1998,Annual,Fresno County,Not Adj,Not Prelim,375900,322300,53600,0.143
1997,Annual,Fresno County,Not Adj,Not Prelim,371900,321700,50200,0.135
1996,Annual,Fresno County,Not Adj,Not Prelim,369900,320800,49100,0.133
1995,Annual,Fresno County,Not Adj,Not Prelim,369900,318000,51900,0.140
1994,Annual,Fresno County,Not Adj,Not Prelim,356200,305400,50700,0.142
1993,Annual,Fresno County,Not Adj,Not Prelim,361700,306000,55800,0.154
1992,Annual,Fresno County,Not Adj,Not Prelim,352600,298100,54600,0.155
1991,Annual,Fresno County,Not Adj,Not Prelim,336800,291800,45000,0.134
1990,Annual,Fresno County,Not Adj,Not Prelim,328700,290400,38300,0.116
2019,Annual,Glenn County,Not Adj,Prelim,13000,12200,800,0.061
2018,Annual,Glenn County,Not Adj,Not Prelim,12780,11940,840,0.066
2017,Annual,Glenn County,Not Adj,Not Prelim,12820,11860,960,0.075
2016,Annual,Glenn County,Not Adj,Not Prelim,12950,11870,1080,0.083
2015,Annual,Glenn County,Not Adj,Not Prelim,12960,11830,1130,0.087
2014,Annual,Glenn County,Not Adj,Not Prelim,12800,11440,1360,0.107
2013,Annual,Glenn County,Not Adj,Not Prelim,12990,11420,1570,0.121
2012,Annual,Glenn County,Not Adj,Not Prelim,13150,11280,1870,0.142
2011,Annual,Glenn County,Not Adj,Not Prelim,13170,11120,2040,0.155
2010,Annual,Glenn County,Not Adj,Not Prelim,13220,11180,2040,0.154
2009,Annual,Glenn County,Not Adj,Not Prelim,12580,10800,1780,0.141
2008,Annual,Glenn County,Not Adj,Not Prelim,12180,10900,1280,0.105
2007,Annual,Glenn County,Not Adj,Not Prelim,11980,10920,1050,0.088
2006,Annual,Glenn County,Not Adj,Not Prelim,11610,10680,930,0.080
2005,Annual,Glenn County,Not Adj,Not Prelim,11540,10570,970,0.084
2004,Annual,Glenn County,Not Adj,Not Prelim,11450,10390,1070,0.093
2003,Annual,Glenn County,Not Adj,Not Prelim,11120,9990,1130,0.102
2002,Annual,Glenn County,Not Adj,Not Prelim,11220,10140,1070,0.095
2001,Annual,Glenn County,Not Adj,Not Prelim,11230,10240,980,0.088
2000,Annual,Glenn County,Not Adj,Not Prelim,11300,10340,960,0.085
1999,Annual,Glenn County,Not Adj,Not Prelim,10380,9210,1170,0.113
1998,Annual,Glenn County,Not Adj,Not Prelim,10490,9080,1410,0.134
1997,Annual,Glenn County,Not Adj,Not Prelim,10960,9490,1470,0.134
1996,Annual,Glenn County,Not Adj,Not Prelim,11390,9650,1730,0.152
