city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Elk Grove,NA,NA,"4,692,657","10,021,143","11,599,872","13,924,589","13,740,957","14,877,543","14,407,259","14,390,475","12,107,306","10,940,065","11,640,882","12,970,304","13,491,648","15,213,485","16,377,621","19,381,522","25,414,998","26,854,159","28,404,546"
Folsom,"7,508,214","9,667,582","12,454,298","14,015,836","15,236,509","17,330,330","15,954,529","14,566,738","13,767,237","13,480,106","10,639,855","10,073,402","11,163,370","11,302,539","12,856,709","13,441,111","14,077,146","16,255,923","23,686,073","21,720,675","23,423,272"
Galt,"703,307","845,310","932,187","877,466","963,132","1,097,859","975,116","1,111,958","1,898,509","675,869","840,071","951,698","1,099,736","1,161,695","1,121,581","1,249,720","1,401,959","1,792,301","2,293,677","2,374,828","2,322,077"
Isleton,"89,425","108,514","134,492","140,326","141,029","185,488","152,798","165,378","110,963","116,596","107,963","68,336","85,850","114,863","106,096","104,896","103,105","95,360","107,555","127,946","169,243"
Rancho Cordova,NA,NA,NA,NA,NA,"5,321,707","7,637,013","8,241,365","7,388,927","7,101,975","6,820,254","6,310,801","8,904,357","10,021,661","10,675,774","11,590,136","12,292,265","15,060,402","15,406,932","18,265,537","19,181,680"
Sacramento,"47,845,998","54,979,368","58,442,845","56,427,616","57,674,070","62,405,070","51,769,540","52,851,085","50,746,015","50,151,744","46,855,994","42,242,524","43,134,609","45,962,505","47,235,437","48,903,499","51,079,090","60,293,648","74,913,529","79,151,303","85,091,908"
San Benito County unincorporated,"1,210,296","1,251,689","1,493,243","1,353,259","1,204,989","1,238,009","1,079,085","1,075,923","1,165,036","1,263,107","1,215,809","1,067,883","1,194,010","1,298,853","1,476,888","1,505,728","1,398,911","1,546,646","2,039,333","3,586,253","2,292,716"
Hollister,"2,559,159","2,938,298","3,353,515","3,564,211","3,703,490","3,520,610","3,040,694","2,896,251","2,566,532","2,775,454","2,280,780","2,062,495","2,207,276","2,258,574","2,578,715","2,610,661","2,881,039","3,378,036","4,466,653","4,634,303","4,964,669"
San Juan Bautista,"189,849","160,497","95,642","119,159","150,948","148,816","121,357","118,799","119,630","87,458","73,026","94,004","96,271","113,648","111,791","106,213","140,080","144,199","204,270","190,409","212,688"
San Bernardino County unincorporated,"16,653,758","13,443,286","13,830,464","14,269,824","15,942,712","16,548,328","17,118,501","18,861,358","19,106,725","16,207,402","13,299,093","12,109,289","12,657,791","16,649,671","18,474,357","19,390,411","18,912,977","31,653,920","27,744,170","28,961,758","31,139,411"
Adelanto,"679,124","649,834","710,252","972,669","841,510","1,029,693","823,423","1,058,672","1,208,588","1,051,242","1,052,169","901,588","817,241","872,404","906,413","969,184","1,248,219","977,519","1,383,731","1,670,724","2,034,881"
Apple Valley,"1,839,066","2,248,112","2,206,706","2,457,259","2,522,014","2,750,231","2,485,310","2,840,575","3,336,764","3,443,628","3,708,363","3,648,067","3,747,221","4,024,505","3,830,532","4,160,397","4,210,700","4,593,996","5,823,508","6,384,594","7,087,036"
Barstow,"3,947,821","4,126,904","4,663,142","4,331,431","4,505,341","4,534,736","3,938,569","4,530,361","4,857,657","4,804,265","4,468,138","4,296,163","4,835,128","5,093,283","5,542,994","5,445,237","5,577,712","5,909,598","7,140,298","7,325,279","7,489,422"
Big Bear Lake,"1,370,357","1,522,649","1,661,543","1,677,682","1,742,132","1,854,908","1,582,563","1,711,595","1,486,007","1,470,412","1,350,447","1,258,736","1,234,675","1,345,295","1,454,442","1,443,552","1,571,990","1,763,514","2,304,365","2,251,626","2,606,117"
Chino,"9,832,735","11,624,719","12,551,520","11,343,852","12,841,095","14,635,827","12,673,373","13,165,222","12,346,244","11,983,114","11,834,992","10,644,698","11,492,475","11,982,848","13,568,905","15,035,118","15,746,131","18,490,227","24,358,886","25,799,500","29,943,153"
Chino Hills,"1,802,120","2,311,369","2,731,006","3,005,882","3,241,676","3,826,456","3,517,175","3,551,356","3,985,404","4,020,861","4,479,887","4,428,488","4,589,709","4,986,176","5,206,527","5,114,343","5,564,344","6,196,752","7,628,170","7,954,336","8,274,916"
Colton,"4,912,799","5,948,600","6,367,438","6,562,318","6,769,347","7,776,147","7,829,412","8,457,944","8,031,900","7,305,557","3,650,066","3,732,832","4,120,880","4,389,570","4,417,897","5,316,982","5,573,013","6,584,614","8,503,036","9,037,668","10,226,805"
Fontana,"9,554,926","10,514,178","11,623,501","13,043,163","14,583,287","16,344,602","15,153,548","17,896,138","17,440,353","19,053,887","16,946,097","14,670,309","17,086,540","19,373,769","20,819,800","22,329,102","24,664,568","28,404,522","35,911,167","38,365,900","41,817,204"
Grand Terrace,"465,515","486,899","522,319","602,946","592,415","796,257","637,306","711,803","720,616","720,277","647,079","571,377","670,006","723,526","710,409","716,665","605,619","681,353","846,423","763,475","759,594"
Hesperia,"2,928,067","3,567,240","3,872,187","3,740,811","4,286,012","4,872,185","4,596,453","5,700,506","5,746,555","4,853,101","4,423,041","4,142,658","4,875,199","5,836,639","6,139,527","6,252,218","6,409,827","7,068,248","8,276,852","9,132,026","9,930,069"
Highland,"1,020,078","1,072,861","1,202,379","1,211,083","1,093,090","1,120,350","978,844","933,662","1,010,903","1,172,103","1,085,570","1,302,333","1,396,045","1,588,477","1,572,559","1,684,346","1,677,944","1,856,182","2,278,643","2,660,159","2,742,757"
Loma Linda,"2,217,127","2,338,996","2,568,321","2,738,734","2,613,043","2,188,681","1,975,458","2,164,830","2,415,147","2,500,522","2,580,739","2,293,198","2,759,943","2,852,713","2,819,089","2,784,644","4,729,461","5,215,536","6,396,091","6,778,051","9,631,358"
Montclair,"8,982,197","10,153,888","10,533,936","10,200,751","11,246,348","12,281,559","11,101,468","10,639,020","10,323,517","9,289,485","7,584,277","6,721,484","7,178,110","7,613,657","7,899,600","8,112,250","8,573,252","10,447,891","13,442,372","13,348,360","14,034,437"
Needles,"413,537","425,253","444,602","457,616","465,339","444,924","368,399","410,842","397,454","360,487","315,206","275,093","274,888","280,705","268,055","285,897","296,452","339,858","411,609","431,951","478,962"
Ontario,"29,967,021","33,691,702","40,081,086","40,524,474","41,676,160","47,641,360","42,598,636","47,743,841","48,278,843","49,487,474","42,007,237","38,499,334","41,263,914","46,093,846","49,702,868","51,684,793","56,787,366","68,155,586","85,867,228","87,819,103","89,115,342"
Rancho Cucamonga,"11,545,687","12,847,565","13,755,267","13,740,667","14,898,490","16,328,985","16,336,567","19,447,241","19,881,343","19,009,403","17,844,387","15,834,161","16,355,157","18,522,827","18,962,002","18,779,289","20,409,097","23,302,746","28,859,374","30,649,848","32,241,808"
Redlands,"6,109,117","6,909,353","7,470,775","8,402,208","9,638,215","10,094,953","9,797,005","9,390,752","9,216,704","8,199,505","7,208,063","6,764,600","6,811,282","7,552,027","7,978,065","8,203,663","8,735,712","10,161,456","12,557,164","12,944,782","13,894,946"
Rialto,"5,505,740","6,982,721","7,678,611","7,856,067","8,050,923","8,034,875","7,557,839","8,016,549","8,900,256","8,511,675","9,195,322","6,389,911","7,233,587","7,110,015","7,370,943","8,105,799","8,798,304","8,390,991","12,349,237","17,875,662","20,797,340"
San Bernardino,"22,393,277","24,583,045","26,654,689","27,268,537","29,600,641","32,057,442","27,660,340","28,001,410","25,559,913","22,703,887","18,549,247","16,313,482","17,654,968","19,366,611","20,397,228","22,131,222","22,792,096","26,374,937","33,686,498","34,818,509","37,985,625"
Twentynine Palms,"528,260","585,701","696,879","691,549","677,539","761,941","642,169","666,315","759,294","702,363","809,311","795,926","858,063","896,024","884,687","839,447","862,148","889,039","1,152,690","1,214,184","1,380,263"
Upland,"5,718,061","6,346,216","6,887,090","7,354,279","7,822,275","7,963,494","6,907,968","7,824,484","8,365,546","8,024,192","7,365,096","6,795,566","7,131,170","7,455,407","7,545,014","8,589,890","9,217,590","10,695,610","13,265,204","13,654,207","14,373,573"
Victorville,"9,395,880","10,527,422","11,979,827","12,821,667","15,535,167","16,278,013","15,773,252","17,528,511","17,011,664","15,252,486","12,113,329","10,738,112","11,135,410","12,193,901","12,619,112","13,316,911","14,693,151","16,691,620","20,687,303","21,534,105","22,553,520"
Yucaipa,"1,206,698","1,335,194","1,536,293","1,637,077","1,739,412","2,144,996","1,855,659","2,005,751","2,063,338","2,007,210","1,822,148","1,816,055","1,833,342","2,027,079","2,021,867","2,158,462","2,390,455","2,672,954","3,405,359","3,590,722","3,998,854"
Yucca Valley,"1,804,714","1,999,640","2,119,624","2,161,256","2,284,063","2,498,864","2,233,436","2,377,184","2,462,751","2,366,682","2,256,083","2,010,102","2,010,253","2,189,269","2,136,294","2,222,869","2,282,821","2,683,411","3,348,814","3,498,436","3,751,181"
San Diego County unincorporated,"14,763,105","14,769,321","18,385,884","20,550,600","20,180,505","20,478,740","17,889,041","18,058,086","18,510,912","18,206,046","17,169,859","15,700,698","16,844,160","18,816,429","17,899,383","18,899,926","21,029,956","22,197,256","27,856,129","30,691,839","32,099,953"
Carlsbad,"16,380,853","18,746,638","20,416,586","20,992,388","22,729,888","24,476,209","20,701,062","19,912,641","20,341,602","20,221,353","18,018,051","17,163,282","18,840,260","20,639,633","21,646,521","23,131,798","24,522,443","26,870,346","31,729,192","34,274,835","38,015,469"
Chula Vista,"14,890,932","16,718,634","18,392,712","18,698,414","19,621,536","21,185,193","18,411,365","19,215,163","21,002,164","21,779,594","19,684,675","18,409,681","19,654,464","20,432,598","21,127,594","21,929,118","22,785,223","25,911,325","31,705,187","32,648,284","35,096,291"
Coronado,"1,712,062","1,845,326","1,969,365","1,828,322","1,999,753","1,996,612","1,677,341","1,773,270","1,803,302","1,818,108","1,821,345","1,582,700","1,793,817","1,852,347","1,984,070","2,154,498","2,574,632","2,795,157","3,378,894","3,372,946","3,545,680"
Del Mar,"1,199,879","1,411,207","1,386,952","1,277,644","1,289,628","1,373,504","1,209,913","1,271,935","1,189,454","1,174,738","993,534","993,606","1,126,224","1,215,594","1,220,893","1,317,055","1,405,017","1,767,749","2,259,571","2,171,890","2,169,579"
El Cajon,"15,088,025","16,874,567","18,260,141","19,138,969","20,475,730","21,807,760","18,761,388","17,835,942","17,433,986","17,124,544","14,731,835","12,829,820","14,404,168","14,782,331","16,398,987","16,424,268","17,152,007","19,881,475","25,137,177","26,480,255","27,239,280"
Encinitas,"7,428,821","8,581,849","8,970,304","9,442,979","10,390,656","10,688,682","8,795,621","8,788,111","8,376,812","8,277,952","7,723,490","7,157,015","7,558,756","8,239,674","8,648,454","8,983,743","9,375,882","10,683,945","12,702,823","13,279,816","13,940,363"
Escondido,"20,954,062","22,969,629","24,746,270","25,933,857","26,843,007","29,086,104","26,006,304","24,767,326","23,356,740","21,919,932","18,869,810","16,817,049","18,238,403","20,650,934","22,283,428","23,585,139","24,594,548","28,787,703","35,749,509","35,976,234","37,530,810"
Imperial Beach,"550,729","527,032","565,353","601,692","656,630","700,736","602,487","570,715","586,517","612,057","579,117","547,447","589,258","590,127","641,451","642,965","714,494","788,373","987,374","1,067,696","1,287,862"
