Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-SQF-003261,Slate,WF,36,119,2160.0,Acres,2045511.0,0,2016-10-04,2016,Tulare
CA-STF-002257,MOKELUMNE,WF,39,120,655.0,Acres,250000.0,0,2016-08-19,2016,Douglas
CA-YNP-000041,Lakes,WF,38,120,1000.0,Acres,124203.99,0,2016-06-26,2016,Tuolumne
CA-KRN-032270,RANGE,WF,35,119,516.0,Acres,1450000.0,0,2016-08-26,2016,Kern
CA-AFV-003193,Washington,WF,35,121,204.0,Acres,300000.0,0,2016-09-22,2016,San Luis Obispo
CA-BDF-010468,BLUE CUT Type 3,WF,34,117,36274.0,Acres,20000.0,321,2016-08-16,2016,San Bernardino
CA-BDF-010205,PILOT,WF,34,117,8110.0,Acres,2800000.0,0,2016-08-07,2016,San Bernardino
CA-RRU-067665,Temecula,WF,33,117,139.0,Acres,898575.0,0,2016-06-04,2016,San Diego
CA-INF-000885,ASH,WF,36,118,110.0,Acres,40000.0,0,2016-06-12,2016,Kern
CA-SQF-003464,Hidden,WF,36,119,2768.0,Acres,685000.0,0,2016-11-02,2016,Tulare
CA-TCU-010403,MARSHES,WF,38,120,1080.0,Acres,5813452.0,0,2016-09-26,2016,Tuolumne
CA-SLU-005280,Camp Roberts,WF,36,121,3712.0,Acres,541871.0,0,2016-05-18,2016,Monterey
CA-ENF-026677,TABLE,WF,39,120,426.0,Acres,0.0,0,2017-09-09,2017,Douglas
CA-LNU-010046,ATLAS,WF,38,122,25000.0,Acres,1200000.0,125,2017-10-09,2017,Contra Costa
CA-MNF-001227,SKELETON,WF,39,123,200.0,Acres,700000.0,0,2017-09-12,2017,Lake
CA-CZU-007822,BEAR,WF,37,122,391.0,Acres,7061020.0,4,2017-10-17,2017,Santa Cruz
CA-PNF-001145,POSLIN,WF,40,120,860.0,Acres,485000.0,0,2017-08-07,2017,Lassen
CA-LNU-006262,WINTER,WF,38,122,2269.0,Acres,1800000.0,0,2017-07-06,2017,Contra Costa
CA-LNU-010093,CENTRAL LNU COMPLEX,WF,38,123,27500.0,Acres,4105000.0,0,2017-10-09,2017,Marin
CA-LNU-010051,PARTRICK,WF,38,122,1000.0,Acres,250000.0,0,2017-10-09,2017,Contra Costa
CA-NEU-026269,CASCADE,WF,39,121,8200.0,Acres,2000000.0,200,2017-10-09,2017,Placer
CA-MEU-012172,Redwood Valley Incident,WF,39,123,21000.0,Acres,0.0,90,2017-10-09,2017,Lake
CA-LNU-010049,NUNS,WF,38,123,5000.0,Acres,250000.0,0,2017-10-09,2017,Marin
CA-MDF-000862,PARKER2,WF,41,120,7697.0,Acres,10400000.0,1,2017-08-03,2017,Lassen
CA-MDF-000415,BATTLE,WF,42,121,640.0,Acres,350000.0,0,2017-06-28,2017,Klamath
CA-NEU-026279,MCCOURTNEY,WF,39,121,72.0,Acres,100000.0,12,2017-10-09,2017,Placer
CA-NEU-026295,NEU WIND COMPLEX,WF,39,121,17037.0,Acres,15590000.0,398,2017-10-09,2017,Placer
CA-BTU-013737,PONDEROSA,WF,40,121,4016.0,Acres,18838413.0,54,2017-08-29,2017,Plumas
CA-SHF-001770,HELENA,WF,41,123,21449.0,Acres,30640000.0,133,2017-08-31,2017,Siskiyou
CA-SHF-001555,FORK,WF,41,123,3535.06,Acres,550000.0,0,2017-08-08,2017,Siskiyou
CA-SRF-000874,DUTCHMAN,WF,40,123,1523.0,Acres,0.0,0,2017-08-08,2017,Trinity
CA-MDF-000656,RIMROCK,WF,42,121,700.0,Acres,1.0,0,2017-07-24,2017,Klamath
CA-NOD-030366,Long Valley,WF,40,120,83733.0,Acres,11953000.0,8,2017-07-11,2017,Lassen
CA-BTU-015954,La Porte,WF,39,121,3000.0,Acres,1000000.0,0,2017-10-09,2017,Placer
CA-LNU-010105,SOUTHERN LNU COMPLEX,WF,38,122,51624.0,Acres,48509895.0,783,2017-10-09,2017,Contra Costa
CA-LNU-010104,CENTRAL LNU COMPLEX,WF,38,123,110720.0,Acres,102000000.0,7010,2017-10-09,2017,Marin
CA-KNF-006016,OAK,WF,42,123,86830.0,Acres,1.0,0,2017-08-12,2017,Siskiyou
CA-KNF-006029,WALLOW,WF,41,123,5272.0,Acres,775000.0,0,2017-08-11,2017,Siskiyou
CA-PNF-001272,TOLL,WF,40,121,58.0,Acres,1300000.0,0,2017-08-20,2017,Plumas
CA-BTU-015933,CHEROKEE,WF,40,122,8417.0,Acres,648000.0,0,2017-10-09,2017,Tehama
CA-NOD-005180,R-4,WF,41,120,18618.0,Acres,575000.0,0,2017-08-30,2017,Lassen
CA-NEU-021927,BEALE,WF,39,121,950.0,Acres,350000.0,0,2017-08-20,2017,Placer
CA-PNF-001043,Minerva 5,WF,40,121,4310.0,Acres,20500000.0,0,2017-07-29,2017,Plumas
CA-SRF-000863,YOUNG,WF,42,124,21377.0,Acres,2800000.0,0,2017-08-08,2017,Del Norte
CA-KNF-005915,CEDAR,WF,42,123,9122.0,Acres,1.0,0,2017-08-08,2017,Siskiyou
CA-SRF-000916,ZULU 7,WF,42,123,19.0,Acres,0.0,0,2017-08-12,2017,Siskiyou
CA-KNF-005502,CLEAR,WF,42,124,6700.0,Acres,0.0,0,2017-07-25,2017,Del Norte
CA-LNU-010045,TUBBS,WF,39,123,28000.0,Acres,4105000.0,576,2017-10-09,2017,Lake
CA-MEU-012169,Mendocino Lake Complex,WF,40,123,38730.0,Acres,25000000.0,706,2017-10-09,2017,Trinity
CA-NEU-026275,LOBO,WF,39,121,880.0,Acres,1000000.0,8,2017-10-09,2017,Placer
CA-SRF-001289,RIVERS,WF,40,124,148.0,Acres,125000.0,1,2017-10-14,2017,Humboldt
CA-BTU-010975,WALL,WF,39,121,6033.0,Acres,14827826.0,91,2017-07-07,2017,Placer
CA-MRN-002957,Thirty Seven,WF,38,122,1660.0,Acres,300000.0,0,2017-10-09,2017,Contra Costa
CA-LNU-010055,Sulfur,WF,39,123,2500.0,Acres,0.0,205,2017-10-09,2017,Lake
CA-BTU-015990,HONEY,WF,40,122,150.0,Acres,725000.0,0,2017-10-09,2017,Tehama
CA-PNF-001488,Eureka,WF,40,121,437.0,Acres,510000.0,0,2017-09-06,2017,Plumas
CA-NOD-001810,WEST,WF,41,120,401.0,Acres,20000.0,0,2017-04-01,2017,Lassen
CA-PNF-001273,SQUIRREL,WF,40,121,130.0,Acres,1000000.0,0,2017-08-20,2017,Plumas
CA-AEU-021652,Latrobe Incident,WF,39,121,1268.0,Acres,300000.0,0,2017-07-26,2017,Placer
CA-BTU-0015314,SODA,WF,40,122,143.0,Acres,1919575.0,0,2017-09-28,2017,Tehama
CA-MDF-001101,JONES,WF,42,121,292.0,Acres,475000.0,0,2017-08-23,2017,Klamath
CA-NOD-004279,R-21,WF,41,120,589.0,Acres,85000.0,0,2017-07-26,2017,Lassen
CA-SRF-000703,Marble,WF,41,124,319.0,Acres,21000000.0,0,2017-07-19,2017,Humboldt
CA-KNF-006672,DEEP,WF,42,123,150.0,Acres,26000.0,0,2017-09-07,2017,Siskiyou
CA-KNF-004540,ISLAND,WF,41,123,13497.0,Acres,50145.0,0,2017-06-26,2017,Siskiyou
CA-KNF-006729,LITTLE BUCK,WF,42,124,113.0,Acres,0.0,0,2017-09-07,2017,Del Norte
CA-NOD-005152,MUD,WF,40,120,6042.0,Acres,100000.0,0,2017-08-29,2017,Lassen
CA-NEU-022877,PLEASANT,WF,39,121,392.0,Acres,0.0,1,2017-08-30,2017,Placer
CA-KNF-005958,GARDEN,WF,41,123,183.0,Acres,367165.0,0,2017-08-10,2017,Siskiyou
CA-SRF-000928,ALPHA 1,WF,42,123,2.5,Acres,0.0,0,2017-08-13,2017,Siskiyou
CA-SKU-004779,FAY,WF,41,123,469.0,Acres,2400000.0,2,2017-07-05,2017,Siskiyou
CA-MDF-001102,BOLES,WF,42,121,370.54,Acres,750000.0,0,2017-08-23,2017,Klamath
CA-TNF-000992,CHILCOOT,WF,40,120,1021.0,Acres,800000.0,0,2017-08-06,2017,Lassen
CA-SHF-001850,BUCK,WF,40,123,13434.0,Acres,11500000.0,0,2017-09-13,2017,Trinity
CA-LNU-010057,Pocket,WF,39,123,1800.0,Acres,0.0,0,2017-10-09,2017,Lake
