year,acres_burned
1958.0,588.4478799999999
1958.0,481.37457
1958.0,836.4549
1958.0,261.15289
1958.0,432.39385999999996
1958.0,185.55696
1958.0,408.73001
1958.0,1244.1053
1958.0,587.04425
1958.0,434.93555
1958.0,4746.7852
1958.0,1144.5859
1958.0,2662.2136
1958.0,549.17169
1958.0,13943.541000000001
1958.0,814.6632099999999
1958.0,679.79138
1958.0,5365.4023
1958.0,975.1989699999999
1958.0,411.41705
1958.0,908.66156
1958.0,589.43835
1958.0,817.9422599999999
1958.0,109.0305
1958.0,522.26605
1958.0,1365.5635
1958.0,428.44852000000003
1958.0,1138.3982
1958.0,262.88489
1958.0,820.73987
1958.0,611.68402
1959.0,176.82327
1959.0,2855.7246
1959.0,624.30353
1959.0,431.67206
1959.0,126.1213
1959.0,1122.2374
1959.0,1300.1608
1959.0,467.06262000000004
1959.0,799.7305299999999
1959.0,257.05997
1959.0,364.18271
1959.0,321.36057
1959.0,4277.5308
1959.0,287.9115
1959.0,3164.2375
1959.0,684.3847
1959.0,306.80634
1959.0,385.04699999999997
1959.0,295.36954
1959.0,392.0914
1959.0,413.42865
1959.0,1326.8268
1959.0,1556.4636
1959.0,763.59473
1959.0,1679.8903
1959.0,1408.7065
1959.0,2256.2053
1959.0,118.59043
1959.0,146.0264
1959.0,164.85385
1959.0,257.03299
1959.0,14403.343
1959.0,389.45587
1959.0,188.09081
1959.0,463.27625
1959.0,364.48557
1959.0,18522.33
1959.0,557.1607700000001
1959.0,297.30765
1959.0,299.13892000000004
1959.0,408.22177
1959.0,234.09207
1959.0,690.80273
1959.0,1273.1051
1959.0,1013.8027
1959.0,3937.1367
1959.0,484.89660999999995
1959.0,1226.4581
1959.0,1295.9617
1959.0,299.25518999999997
1959.0,173.01968
1959.0,1352.4421
1959.0,11076.309
1959.0,276.45389
1959.0,1411.6008
1959.0,1496.0411
1959.0,637.70227
1959.0,2898.3643
1959.0,381.88937000000004
1959.0,1635.8253
1959.0,331.97699
1959.0,313.49481000000003
1959.0,5370.543000000001
1959.0,1078.1847
1959.0,1815.7205
1959.0,10225.66
1959.0,527.7028799999999
