City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Citrus Heights,Sacramento,110.61 ,119.32 ,127.57 ,119.95 ,123.76 ,139.47 ,115.23 ,111.88 ,106.82 ,102.80 ,92.99 ,87.29 ,94.05 ,96.35 ,98.51 ,96.87 ,96.81 ,110.22 ,135.30 ,137.21 ,144.11 
Elk Grove,Sacramento,NA,NA,62.32 ,123.98 ,135.22 ,127.61 ,113.23 ,113.68 ,105.69 ,103.44 ,85.61 ,76.03 ,75.37 ,83.27 ,84.40 ,93.92 ,99.71 ,116.07 ,149.49 ,156.02 ,163.22 
Folsom,Sacramento,154.51 ,183.31 ,220.36 ,230.95 ,238.94 ,264.28 ,234.95 ,209.76 ,194.36 ,191.11 ,149.82 ,140.98 ,154.21 ,155.57 ,177.12 ,180.25 ,186.03 ,211.61 ,304.82 ,276.88 ,293.40 
Galt,Sacramento,40.75 ,46.82 ,46.58 ,41.23 ,43.77 ,49.56 ,42.85 ,48.38 ,80.89 ,28.33 ,34.81 ,39.22 ,46.29 ,48.31 ,46.39 ,51.34 ,56.96 ,71.86 ,90.33 ,91.28 ,87.66 
Isleton,Sacramento,105.33 ,127.36 ,161.45 ,167.45 ,168.49 ,222.94 ,186.57 ,203.42 ,136.15 ,143.06 ,131.98 ,83.13 ,106.25 ,141.81 ,131.63 ,129.98 ,127.61 ,117.58 ,131.00 ,152.86 ,194.31 
Rancho Cordova,Sacramento,,,,,,,138.77 ,146.24 ,125.12 ,116.93 ,110.33 ,100.33 ,136.00 ,151.91 ,158.23 ,168.56 ,173.84 ,208.64 ,209.79 ,246.13 ,257.57 
Sacramento,Sacramento,118.44 ,135.43 ,141.58 ,132.95 ,133.09 ,141.52 ,114.52 ,115.52 ,108.58 ,105.70 ,97.39 ,86.88 ,91.88 ,97.70 ,98.94 ,101.78 ,105.45 ,123.61 ,151.57 ,157.88 ,167.45 
San Benito County unincorporated,SAN BENITO,66.63 ,72.52 ,84.02 ,75.70 ,66.59 ,67.74 ,58.36 ,57.67 ,62.33 ,66.98 ,63.75 ,57.79 ,64.28 ,69.70 ,79.18 ,79.97 ,74.10 ,81.57 ,106.55 ,187.23 ,118.08 
Hollister,San Benito,88.49 ,98.90 ,95.44 ,98.62 ,101.19 ,95.16 ,82.14 ,78.10 ,69.14 ,75.26 ,61.55 ,55.29 ,62.84 ,63.20 ,72.20 ,72.71 ,79.73 ,93.07 ,122.52 ,126.26 ,123.66 
San Juan Bautista,San Benito,113.61 ,98.59 ,60.88 ,75.04 ,93.99 ,86.47 ,70.43 ,68.83 ,65.55 ,46.87 ,38.62 ,49.61 ,51.70 ,60.90 ,60.10 ,57.01 ,74.63 ,76.74 ,108.02 ,101.66 ,102.20 
San Bernardino County unincorporated,SAN BERNARDINO,57.21 ,45.90 ,47.66 ,48.41 ,53.22 ,55.04 ,56.06 ,61.15 ,64.68 ,54.38 ,45.02 ,41.50 ,42.95 ,56.14 ,62.25 ,65.07 ,63.22 ,105.24 ,91.93 ,95.72 ,102.53 
Adelanto,San Bernardino,44.36 ,41.65 ,38.84 ,51.85 ,43.39 ,48.41 ,35.14 ,42.55 ,44.53 ,37.53 ,37.23 ,31.59 ,25.85 ,28.14 ,28.61 ,29.31 ,36.73 ,28.36 ,39.20 ,47.34 ,57.91 
Apple Valley,San Bernardino,33.22 ,39.45 ,39.82 ,43.03 ,42.83 ,44.84 ,38.83 ,42.08 ,47.47 ,49.44 ,53.08 ,52.09 ,53.97 ,57.59 ,53.82 ,58.08 ,58.32 ,63.15 ,79.39 ,86.30 ,96.47 
Barstow,San Bernardino,170.69 ,177.20 ,219.68 ,193.48 ,196.05 ,195.40 ,166.86 ,191.97 ,202.88 ,201.81 ,184.53 ,176.94 ,212.40 ,221.73 ,236.23 ,229.90 ,232.63 ,244.72 ,293.72 ,300.08 ,310.12 
Big Bear Lake,San Bernardino,220.63 ,240.58 ,298.25 ,293.04 ,296.68 ,307.72 ,256.74 ,276.87 ,239.41 ,236.59 ,215.90 ,200.50 ,245.22 ,264.93 ,275.15 ,272.42 ,296.04 ,333.37 ,426.42 ,408.50 ,477.22 
Chino,San Bernardino,149.29 ,174.18 ,185.29 ,164.20 ,181.72 ,203.12 ,166.25 ,168.67 ,152.00 ,145.28 ,140.60 ,125.61 ,145.60 ,151.64 ,170.96 ,184.74 ,188.38 ,220.41 ,283.30 ,297.38 ,333.34 
Chino Hills,San Bernardino,30.93 ,38.37 ,39.84 ,42.15 ,44.41 ,50.08 ,45.09 ,45.55 ,50.66 ,51.24 ,56.91 ,56.08 ,61.12 ,66.04 ,68.69 ,67.30 ,72.14 ,79.80 ,95.95 ,95.65 ,98.09 
Colton,San Bernardino,105.01 ,125.68 ,132.20 ,133.03 ,134.82 ,153.11 ,151.28 ,163.34 ,155.06 ,141.59 ,70.62 ,72.04 ,78.76 ,83.48 ,83.86 ,100.61 ,105.21 ,123.90 ,158.99 ,168.22 ,188.02 
Fontana,San Bernardino,85.20 ,89.56 ,87.34 ,93.27 ,100.04 ,105.59 ,94.47 ,108.16 ,96.02 ,101.72 ,89.65 ,77.07 ,86.39 ,97.12 ,103.59 ,110.18 ,120.47 ,137.15 ,170.95 ,180.97 ,197.18 
Grand Terrace,San Bernardino,34.69 ,35.97 ,44.55 ,50.35 ,49.00 ,65.12 ,51.31 ,57.50 ,58.21 ,57.78 ,51.83 ,44.93 ,55.51 ,59.64 ,57.78 ,58.10 ,48.88 ,54.74 ,67.76 ,60.96 ,60.03 
Hesperia,San Bernardino,47.01 ,56.10 ,60.95 ,57.13 ,63.18 ,69.30 ,60.24 ,71.02 ,66.92 ,55.62 ,50.16 ,46.82 ,53.92 ,64.25 ,67.12 ,68.14 ,69.45 ,76.10 ,88.44 ,96.30 ,103.05 
Highland,San Bernardino,23.74 ,24.13 ,26.75 ,26.32 ,23.06 ,22.75 ,19.20 ,18.13 ,19.37 ,22.46 ,20.73 ,24.81 ,26.21 ,29.66 ,29.37 ,31.38 ,31.29 ,34.58 ,42.07 ,48.58 ,49.17 
Loma Linda,San Bernardino,102.60 ,104.89 ,133.76 ,138.78 ,129.77 ,104.46 ,91.27 ,98.80 ,107.57 ,111.14 ,114.10 ,100.76 ,118.76 ,122.21 ,120.33 ,117.87 ,198.87 ,218.42 ,267.74 ,283.06 ,395.78 
Montclair,San Bernardino,293.30 ,328.15 ,315.08 ,299.78 ,327.82 ,353.64 ,311.69 ,298.45 ,281.89 ,252.50 ,205.18 ,179.07 ,194.48 ,205.30 ,211.64 ,216.62 ,222.95 ,269.96 ,344.57 ,339.43 ,354.74 
Needles,San Bernardino,70.34 ,71.72 ,90.59 ,88.79 ,89.06 ,82.61 ,66.19 ,72.32 ,69.01 ,62.49 ,54.41 ,47.36 ,56.60 ,57.47 ,53.29 ,56.53 ,57.40 ,65.06 ,79.42 ,83.44 ,94.19 
Ontario,San Bernardino,203.27 ,222.41 ,251.34 ,248.47 ,251.55 ,283.71 ,249.42 ,279.02 ,279.55 ,286.70 ,242.55 ,220.58 ,250.33 ,278.03 ,296.59 ,306.65 ,333.73 ,396.86 ,490.23 ,494.51 ,499.90 
Rancho Cucamonga,San Bernardino,94.47 ,102.30 ,104.81 ,99.71 ,101.58 ,105.50 ,100.71 ,114.07 ,115.37 ,108.19 ,100.40 ,88.51 ,97.53 ,109.50 ,111.33 ,109.42 ,118.64 ,134.51 ,164.65 ,173.49 ,179.71 
Redlands,San Bernardino,91.08 ,101.95 ,115.56 ,126.71 ,142.57 ,146.66 ,138.98 ,132.10 ,129.13 ,114.89 ,100.61 ,94.05 ,98.71 ,108.88 ,114.89 ,117.81 ,124.75 ,144.52 ,177.23 ,181.82 ,193.42 
Rialto,San Bernardino,66.45 ,83.46 ,82.53 ,82.47 ,83.38 ,81.89 ,75.97 ,80.82 ,89.84 ,85.85 ,91.93 ,63.73 ,72.56 ,70.82 ,71.62 ,78.26 ,83.54 ,78.90 ,116.00 ,167.00 ,193.88 
San Bernardino,San Bernardino,120.68 ,131.92 ,142.47 ,142.48 ,152.49 ,163.33 ,138.11 ,138.74 ,124.68 ,111.16 ,90.71 ,79.66 ,84.03 ,91.68 ,94.47 ,102.18 ,104.47 ,120.05 ,153.06 ,157.46 ,173.27 
Twentynine Palms,San Bernardino,35.09 ,38.81 ,24.57 ,26.99 ,26.92 ,29.35 ,23.45 ,24.23 ,30.58 ,23.03 ,26.25 ,25.97 ,34.06 ,34.91 ,33.97 ,31.61 ,33.50 ,34.73 ,43.51 ,44.89 ,47.66 
Upland,San Bernardino,83.95 ,92.25 ,99.32 ,103.80 ,108.92 ,109.53 ,93.51 ,105.60 ,111.29 ,107.46 ,98.16 ,89.29 ,96.42 ,100.19 ,101.30 ,114.54 ,121.21 ,139.50 ,172.42 ,177.29 ,183.15 
Victorville,San Bernardino,149.08 ,163.33 ,179.54 ,184.00 ,214.32 ,209.55 ,181.97 ,184.23 ,165.91 ,142.86 ,110.68 ,95.79 ,95.29 ,102.62 ,104.53 ,109.73 ,119.89 ,135.45 ,166.91 ,174.08 ,178.23 
Yucaipa,San Bernardino,30.97 ,33.52 ,36.67 ,37.43 ,38.30 ,45.23 ,37.48 ,39.68 ,39.85 ,39.25 ,35.51 ,35.28 ,35.57 ,38.99 ,38.23 ,40.65 ,44.82 ,49.61 ,62.69 ,65.70 ,72.91 
Yucca Valley,San Bernardino,95.03 ,104.03 ,124.01 ,123.25 ,127.13 ,133.49 ,112.95 ,115.75 ,117.03 ,111.97 ,106.22 ,94.41 ,96.81 ,104.89 ,101.07 ,104.77 ,105.90 ,123.73 ,153.95 ,160.23 ,170.12 
San Diego County unincorporated,SAN DIEGO,32.31 ,33.35 ,41.23 ,44.75 ,43.62 ,43.06 ,38.01 ,38.11 ,38.44 ,37.02 ,34.40 ,32.27 ,34.19 ,37.79 ,35.93 ,37.62 ,41.40 ,43.73 ,54.73 ,60.54 ,63.30 
Carlsbad,San Diego,211.03 ,228.53 ,246.12 ,239.36 ,251.80 ,263.20 ,218.42 ,201.94 ,200.73 ,195.55 ,172.17 ,160.70 ,177.07 ,192.61 ,197.69 ,208.45 ,219.84 ,239.91 ,280.35 ,299.02 ,329.88 
Chula Vista,San Diego,89.11 ,95.91 ,101.64 ,98.27 ,98.26 ,101.30 ,84.96 ,86.00 ,92.23 ,94.53 ,84.44 ,77.48 ,79.90 ,82.33 ,82.66 ,84.40 ,87.03 ,98.29 ,119.48 ,122.05 ,129.31 
Coronado,San Diego,59.59 ,74.79 ,82.31 ,70.65 ,75.88 ,75.46 ,62.35 ,67.56 ,78.55 ,78.95 ,79.09 ,66.18 ,76.89 ,80.17 ,84.45 ,90.97 ,108.01 ,110.95 ,137.85 ,155.56 ,146.52 
Del Mar,San Diego,224.99 ,261.77 ,312.45 ,285.06 ,286.39 ,301.54 ,267.44 ,281.15 ,261.53 ,257.56 ,216.41 ,213.22 ,269.30 ,291.23 ,289.52 ,311.14 ,331.06 ,416.23 ,527.44 ,502.52 ,487.44 
El Cajon,San Diego,157.77 ,174.64 ,190.43 ,198.96 ,211.82 ,223.34 ,192.76 ,184.13 ,179.26 ,175.54 ,150.12 ,128.77 ,144.07 ,147.69 ,160.65 ,159.85 ,164.95 ,190.11 ,238.77 ,250.86 ,258.05 
Encinitas,San Diego,122.83 ,138.28 ,152.11 ,158.07 ,169.91 ,170.78 ,140.66 ,139.90 ,132.42 ,130.13 ,120.41 ,109.82 ,126.34 ,137.20 ,141.49 ,145.86 ,151.61 ,172.22 ,202.84 ,210.26 ,219.91 
Escondido,San Diego,166.68 ,179.71 ,183.07 ,190.03 ,194.49 ,207.01 ,184.70 ,175.95 ,164.73 ,153.01 ,130.29 ,114.00 ,125.78 ,142.06 ,150.84 ,158.68 ,164.04 ,191.13 ,236.79 ,237.50 ,245.72 
Imperial Beach,San Diego,19.05 ,18.06 ,20.73 ,21.93 ,23.78 ,25.23 ,21.83 ,20.71 ,21.17 ,21.79 ,20.50 ,19.09 ,22.29 ,22.28 ,23.62 ,23.54 ,25.77 ,28.26 ,35.21 ,37.91 ,46.92 
La Mesa,San Diego,159.15 ,174.52 ,193.34 ,210.28 ,214.79 ,208.93 ,172.13 ,167.18 ,155.59 ,150.58 ,134.19 ,126.00 ,133.50 ,135.91 ,138.43 ,144.65 ,149.38 ,170.22 ,211.73 ,210.43 ,216.18 
Lemon Grove,San Diego,123.76 ,139.63 ,154.33 ,165.32 ,173.70 ,173.99 ,141.53 ,142.91 ,137.31 ,127.01 ,108.96 ,95.69 ,103.99 ,112.47 ,108.68 ,127.33 ,139.64 ,155.08 ,192.16 ,208.03 ,212.38 
National City,San Diego,208.43 ,223.08 ,239.25 ,238.75 ,244.97 ,279.21 ,214.50 ,209.44 ,197.45 ,203.64 ,168.63 ,148.80 ,163.53 ,171.18 ,183.76 ,195.29 ,203.96 ,234.42 ,294.22 ,287.38 ,305.26 
Oceanside,San Diego,58.50 ,64.98 ,74.42 ,76.26 ,78.78 ,84.01 ,70.43 ,76.77 ,74.16 ,73.94 ,71.02 ,65.27 ,73.04 ,77.50 ,80.51 ,81.16 ,83.22 ,90.39 ,112.87 ,114.02 ,122.48 
Poway,San Diego,115.19 ,139.67 ,153.06 ,165.89 ,178.49 ,208.32 ,195.54 ,202.01 ,194.19 ,181.83 ,155.91 ,141.54 ,158.65 ,173.89 ,176.58 ,179.67 ,187.10 ,218.58 ,272.14 ,289.69 ,284.98 
San Diego,San Diego,121.54 ,131.95 ,147.57 ,146.97 ,147.88 ,153.79 ,127.43 ,127.95 ,129.22 ,125.80 ,115.47 ,103.90 ,118.13 ,126.13 ,129.18 ,134.35 ,138.66 ,154.16 ,193.40 ,191.28 ,208.42 
San Marcos,San Diego,154.04 ,168.52 ,166.04 ,160.83 ,161.64 ,186.54 ,171.84 ,161.24 ,152.68 ,141.75 ,120.08 ,113.03 ,115.50 ,121.21 ,125.03 ,130.89 ,127.80 ,140.55 ,173.24 ,179.20 ,183.46 
Santee,San Diego,82.70 ,91.72 ,105.12 ,105.68 ,115.94 ,125.21 ,108.18 ,111.70 ,110.77 ,109.89 ,97.34 ,95.67 ,106.30 ,109.75 ,111.28 ,128.97 ,153.08 ,184.97 ,230.00 ,219.39 ,235.46 
Solana Beach,San Diego,130.65 ,148.62 ,173.95 ,165.23 ,182.39 ,196.06 ,175.94 ,167.12 ,174.42 ,160.83 ,149.39 ,139.41 ,159.18 ,166.52 ,158.91 ,150.62 ,155.11 ,178.85 ,224.36 ,229.36 ,239.80 
Vista,San Diego,91.62 ,104.39 ,106.10 ,106.20 ,113.22 ,120.67 ,99.08 ,103.02 ,108.19 ,104.63 ,95.84 ,88.86 ,99.28 ,108.96 ,109.38 ,114.23 ,131.22 ,145.27 ,178.43 ,172.30 ,169.34 
San Francisco,San Francisco,146.05 ,160.23 ,182.74 ,150.55 ,146.64 ,148.68 ,125.20 ,128.00 ,131.52 ,134.01 ,125.15 ,110.31 ,129.12 ,141.59 ,145.09 ,154.02 ,163.62 ,179.28 ,223.19 ,214.25 ,239.06 
San Joaquin County unincorporated,SAN JOAQUIN,73.43 ,86.11 ,91.16 ,85.35 ,97.77 ,101.03 ,89.27 ,96.53 ,85.10 ,83.05 ,72.67 ,60.85 ,65.24 ,78.39 ,80.05 ,82.47 ,85.01 ,100.57 ,116.33 ,133.82 ,134.18 
Escalon,San Joaquin,91.51 ,107.24 ,113.95 ,111.31 ,105.45 ,119.06 ,93.81 ,100.29 ,87.80 ,89.96 ,66.01 ,56.57 ,70.06 ,75.32 ,76.47 ,77.97 ,79.34 ,102.64 ,115.01 ,139.70 ,142.86 
Lathrop,San Joaquin,94.70 ,143.92 ,140.07 ,180.98 ,175.67 ,202.78 ,222.83 ,161.54 ,77.04 ,100.26 ,115.52 ,90.24 ,88.72 ,138.51 ,60.40 ,126.90 ,90.32 ,111.59 ,116.84 ,165.39 ,233.56 
Lodi,San Joaquin,114.02 ,121.67 ,134.84 ,139.46 ,141.66 ,140.26 ,117.13 ,121.12 ,117.89 ,113.01 ,95.79 ,85.77 ,103.23 ,105.31 ,111.61 ,117.15 ,124.84 ,133.97 ,175.84 ,184.45 ,200.43 
Manteca,San Joaquin,89.58 ,102.67 ,117.85 ,122.50 ,116.21 ,118.36 ,99.51 ,100.98 ,98.35 ,93.41 ,82.87 ,84.62 ,90.41 ,93.75 ,97.34 ,100.29 ,106.00 ,116.88 ,146.09 ,152.03 ,158.63 
Ripon,San Joaquin,95.05 ,114.53 ,123.72 ,107.20 ,136.66 ,157.10 ,125.83 ,136.67 ,139.63 ,140.31 ,120.94 ,80.68 ,95.01 ,117.78 ,144.73 ,142.11 ,143.69 ,145.44 ,172.99 ,190.80 ,205.00 
Stockton,San Joaquin,97.64 ,111.43 ,125.77 ,124.32 ,124.17 ,132.35 ,111.44 ,112.39 ,109.09 ,104.87 ,93.51 ,81.70 ,83.90 ,91.94 ,95.31 ,95.19 ,101.06 ,116.24 ,146.94 ,158.74 ,171.06 
Tracy,San Joaquin,103.67 ,111.52 ,126.22 ,129.39 ,139.19 ,145.44 ,118.39 ,123.31 ,121.20 ,115.32 ,98.26 ,88.86 ,96.98 ,111.80 ,120.40 ,134.47 ,138.20 ,155.96 ,221.01 ,267.39 ,307.17 
San Luis Obispo County unincorporated,SAN LUIS OBISPO,42.57 ,46.88 ,48.74 ,58.38 ,57.83 ,57.38 ,50.08 ,55.68 ,52.19 ,59.64 ,52.46 ,44.36 ,49.88 ,60.73 ,114.91 ,93.96 ,95.70 ,80.33 ,83.69 ,93.59 ,98.40 
Arroyo Grande,San Luis Obispo,123.12 ,149.50 ,168.96 ,182.46 ,185.09 ,192.32 ,164.52 ,164.40 ,150.35 ,146.43 ,126.19 ,120.18 ,125.44 ,132.00 ,133.89 ,142.13 ,145.10 ,163.01 ,205.12 ,216.34 ,226.85 
Atascadero,San Luis Obispo,94.27 ,104.85 ,111.34 ,124.75 ,132.28 ,126.28 ,105.48 ,111.77 ,105.05 ,93.29 ,81.96 ,70.70 ,75.09 ,200.21 ,82.83 ,86.72 ,84.49 ,95.39 ,119.36 ,124.80 ,139.94 
Grover Beach,San Luis Obispo,62.27 ,66.97 ,67.93 ,68.36 ,70.50 ,68.91 ,57.24 ,62.08 ,61.95 ,62.42 ,55.90 ,52.03 ,54.64 ,59.14 ,61.17 ,67.35 ,68.34 ,84.53 ,99.83 ,100.14 ,116.08 
Morro Bay,San Luis Obispo,117.01 ,122.41 ,131.45 ,126.21 ,124.92 ,132.16 ,108.52 ,105.47 ,109.34 ,111.03 ,99.63 ,92.25 ,99.77 ,230.37 ,111.44 ,114.21 ,115.41 ,130.12 ,157.28 ,171.77 ,188.70 
El Paso de Robles,San Luis Obispo,172.56 ,195.31 ,196.05 ,208.98 ,213.12 ,226.32 ,198.68 ,208.38 ,203.96 ,190.64 ,166.45 ,160.03 ,174.13 ,35.28 ,189.17 ,196.71 ,206.69 ,242.94 ,311.83 ,323.56 ,342.54 
Pismo Beach,San Luis Obispo,160.34 ,172.11 ,181.73 ,185.37 ,190.96 ,203.03 ,183.22 ,181.12 ,210.24 ,189.55 ,193.78 ,179.59 ,205.46 ,232.08 ,235.36 ,251.37 ,254.58 ,283.52 ,347.46 ,354.40 ,374.25 
San Luis Obispo,San Luis Obispo,189.49 ,211.11 ,212.24 ,229.97 ,233.36 ,256.12 ,211.96 ,224.41 ,234.86 ,225.77 ,205.80 ,191.50 ,203.25 ,222.03 ,231.67 ,246.96 ,253.53 ,290.33 ,360.66 ,358.15 ,377.18 
San Mateo County unincorporated,SAN MATEO,197.43 ,255.65 ,290.12 ,230.73 ,225.14 ,223.53 ,173.96 ,181.49 ,190.99 ,207.86 ,220.95 ,210.79 ,228.87 ,262.77 ,290.72 ,287.50 ,287.75 ,290.97 ,361.57 ,362.91 ,429.39 
Atherton,San Mateo,30.67 ,68.91 ,26.49 ,14.36 ,14.79 ,12.12 ,12.78 ,13.67 ,17.07 ,14.68 ,14.18 ,10.60 ,16.69 ,24.65 ,17.05 ,18.53 ,74.73 ,24.20 ,35.71 ,30.16 ,31.28 
Belmont,San Mateo,116.41 ,132.39 ,158.35 ,135.54 ,108.07 ,99.22 ,83.26 ,96.91 ,88.92 ,88.88 ,80.19 ,62.17 ,73.55 ,71.94 ,75.87 ,76.65 ,83.46 ,98.10 ,127.16 ,116.04 ,133.66 
Brisbane,San Mateo,705.67 ,611.53 ,569.81 ,789.63 ,649.10 ,717.38 ,796.17 ,796.31 ,887.92 ,"1,776.46 ",849.12 ,953.07 ,539.20 ,759.03 ,436.19 ,490.11 ,491.84 ,613.13 ,943.46 ,"1,057.89 ","1,169.52 "
Burlingame,San Mateo,287.77 ,324.55 ,386.12 ,332.00 ,295.52 ,309.21 ,247.41 ,239.73 ,242.84 ,241.57 ,207.11 ,177.49 ,207.53 ,217.49 ,227.99 ,249.22 ,276.37 ,319.13 ,395.16 ,400.76 ,474.12 
Colma,San Mateo,"5,395.17 ","6,350.67 ","7,539.20 ","7,001.11 ","6,751.65 ","6,150.75 ","4,025.99 ","4,065.03 ","3,794.66 ","3,544.60 ","2,970.00 ","2,910.46 ","3,426.35 ","3,735.01 ","4,127.89 ","4,622.54 ","4,996.92 ","5,588.28 ","7,318.05 ","7,524.88 ","7,739.50 "
Daly City,San Mateo,66.34 ,67.43 ,74.40 ,69.77 ,74.52 ,75.65 ,62.10 ,60.72 ,66.68 ,68.15 ,62.70 ,56.35 ,62.95 ,67.59 ,71.09 ,72.35 ,73.89 ,83.77 ,105.09 ,112.34 ,126.45 
East Palo Alto,San Mateo,14.84 ,31.61 ,48.54 ,56.37 ,53.88 ,70.74 ,66.83 ,62.20 ,57.02 ,58.15 ,53.09 ,56.04 ,73.50 ,79.78 ,74.76 ,82.97 ,76.70 ,111.88 ,115.16 ,124.33 ,139.91 
Foster City,San Mateo,162.39 ,133.25 ,175.71 ,143.74 ,122.81 ,125.51 ,103.92 ,103.17 ,108.62 ,115.77 ,171.18 ,25.35 ,103.50 ,107.41 ,86.06 ,85.42 ,76.09 ,77.59 ,98.56 ,98.37 ,107.17 
Half Moon Bay,San Mateo,107.98 ,123.49 ,128.00 ,139.45 ,132.96 ,131.82 ,109.81 ,111.75 ,114.63 ,121.04 ,106.30 ,98.81 ,124.31 ,141.18 ,141.39 ,143.41 ,149.73 ,163.16 ,214.01 ,220.27 ,235.66 
Hillsborough,San Mateo,5.95 ,7.07 ,7.95 ,7.25 ,6.41 ,6.99 ,4.70 ,4.99 ,5.29 ,5.94 ,6.36 ,6.67 ,3.79 ,7.54 ,12.43 ,4.36 ,4.91 ,7.02 ,8.83 ,8.18 ,8.92 
Menlo Park,San Mateo,270.05 ,290.63 ,389.35 ,283.99 ,214.33 ,192.39 ,158.40 ,155.64 ,161.62 ,175.77 ,151.18 ,126.97 ,140.94 ,131.42 ,136.59 ,151.38 ,130.93 ,131.80 ,157.37 ,166.20 ,192.61 
Millbrae,San Mateo,99.85 ,100.67 ,109.87 ,93.09 ,94.77 ,94.89 ,74.50 ,79.80 ,77.29 ,78.27 ,73.51 ,66.01 ,73.06 ,71.38 ,70.73 ,75.60 ,79.38 ,91.34 ,115.93 ,133.63 ,138.02 
Pacifica,San Mateo,25.64 ,29.12 ,34.06 ,32.35 ,31.92 ,34.00 ,28.44 ,28.45 ,28.08 ,30.54 ,29.73 ,27.85 ,32.46 ,34.33 ,35.48 ,37.34 ,39.02 ,41.70 ,54.03 ,55.56 ,58.54 
Portola Valley,San Mateo,28.98 ,32.97 ,38.22 ,35.76 ,49.07 ,17.48 ,23.22 ,25.27 ,24.48 ,34.50 ,24.30 ,20.09 ,25.29 ,30.17 ,81.55 ,76.34 ,0.00 ,32.12 ,43.38 ,48.66 ,42.04 
Redwood City,San Mateo,199.87 ,233.08 ,282.86 ,206.51 ,195.16 ,206.01 ,166.75 ,178.96 ,187.01 ,177.33 ,156.69 ,138.51 ,152.59 ,160.29 ,173.56 ,183.44 ,198.85 ,217.65 ,256.91 ,262.56 ,270.27 
San Bruno,San Mateo,148.21 ,155.65 ,165.75 ,152.47 ,148.56 ,138.43 ,121.99 ,123.55 ,118.30 ,115.49 ,99.41 ,97.91 ,111.90 ,122.64 ,123.12 ,127.80 ,120.61 ,127.51 ,166.47 ,155.66 ,167.52 
San Carlos,San Mateo,181.92 ,222.76 ,257.82 ,215.08 ,219.86 ,207.23 ,169.90 ,168.03 ,170.83 ,177.79 ,180.54 ,162.76 ,172.55 ,176.75 ,186.93 ,212.82 ,224.25 ,257.37 ,350.60 ,373.61 ,398.60 
San Mateo,San Mateo,160.88 ,180.26 ,194.43 ,174.64 ,165.42 ,163.20 ,130.13 ,130.48 ,128.50 ,126.75 ,113.94 ,105.06 ,112.00 ,124.90 ,128.30 ,128.13 ,133.98 ,146.18 ,177.27 ,180.81 ,184.15 
South San Francisco,San Mateo,180.43 ,191.66 ,216.05 ,213.85 ,202.17 ,182.06 ,146.62 ,147.15 ,148.07 ,149.39 ,123.29 ,116.00 ,127.98 ,139.15 ,147.15 ,152.32 ,161.16 ,180.45 ,226.07 ,252.73 ,277.74 
Woodside,San Mateo,59.16 ,70.83 ,86.54 ,83.05 ,72.22 ,61.78 ,59.42 ,57.46 ,65.89 ,69.30 ,68.43 ,54.02 ,65.93 ,83.09 ,68.56 ,73.55 ,113.81 ,75.46 ,111.78 ,122.31 ,111.36 
Santa Barbara County unincorporated,SANTA BARBARA,51.48 ,65.13 ,72.89 ,71.73 ,66.81 ,66.82 ,54.47 ,54.78 ,63.07 ,56.04 ,51.86 ,50.65 ,56.77 ,57.29 ,52.16 ,50.14 ,54.58 ,59.07 ,72.39 ,72.60 ,77.34 
Buellton,Santa Barbara,317.74 ,335.47 ,354.21 ,373.85 ,354.24 ,337.07 ,263.48 ,269.35 ,261.37 ,286.48 ,251.08 ,228.92 ,233.41 ,254.19 ,263.45 ,290.30 ,295.37 ,352.81 ,436.49 ,456.27 ,474.33 
Carpinteria,Santa Barbara,82.07 ,82.12 ,89.74 ,80.77 ,82.75 ,81.73 ,70.24 ,70.20 ,78.37 ,84.83 ,103.23 ,89.69 ,87.64 ,98.33 ,91.68 ,109.03 ,103.47 ,117.81 ,137.25 ,135.87 ,140.29 
Goleta,Santa Barbara,,,,,,116.45 ,100.35 ,103.41 ,101.95 ,101.53 ,81.30 ,92.02 ,86.56 ,101.69 ,139.73 ,154.79 ,151.19 ,166.94 ,204.81 ,206.77 ,210.97 
Guadalupe,Santa Barbara,24.22 ,22.38 ,28.26 ,29.75 ,31.47 ,38.18 ,41.03 ,44.71 ,39.65 ,34.82 ,28.60 ,26.46 ,23.17 ,28.10 ,43.10 ,31.25 ,32.23 ,39.06 ,46.92 ,52.82 ,50.25 
Lompoc,Santa Barbara,61.70 ,66.58 ,72.90 ,77.23 ,76.16 ,80.86 ,70.21 ,71.00 ,69.88 ,67.53 ,61.28 ,55.08 ,57.29 ,64.68 ,66.69 ,68.55 ,72.91 ,78.83 ,120.94 ,93.15 ,115.29 
Santa Barbara,Santa Barbara,174.65 ,182.47 ,197.10 ,193.23 ,193.07 ,198.97 ,162.77 ,162.66 ,167.43 ,168.53 ,149.37 ,136.15 ,145.30 ,159.40 ,163.20 ,166.45 ,172.02 ,186.97 ,229.38 ,221.54 ,249.08 
Santa Maria,Santa Barbara,152.25 ,162.82 ,164.73 ,172.11 ,182.41 ,182.07 ,149.30 ,146.23 ,144.56 ,144.12 ,128.27 ,116.09 ,114.76 ,126.79 ,128.34 ,132.23 ,137.93 ,156.17 ,193.53 ,203.85 ,217.39 
